ID,cue,word 1,word 2,word 3,word 4,word 5,word 6,word 7,word 8,word 9,word 10,word 11,word 12,word 13,word 14,word 15,word 16,word 17,word 18,word 19,word 20,word 21,word 22,word 23,word 24,word 25,word 26,word 27,word 28,word 29,word 30,word 31,word 32,word 33,word 34,word 35,word 36,word 37,word 38,word 39,word 40,word 41,word 42,word 43,word 44,word 45,word 46,word 47,word 48,word 49,word 50,word 51,word 52,word 53,word 54,word 55,word 56,word 57,word 58,word 59,word 60,word 61,word 62,word 63,word 64,word 65,word 66,word 67,word 68,word 69,word 70,word 71,word 72,word 73,word 74,word 75,word 76,word 77,word 78,word 79,word 80,word 81,word 82,word 83,word 84,word 85,word 86,word 87,word 88,word 89,word 90,word 91,word 92,word 93,word 94,word 95,word 96,word 97,word 98,word 99,word 100,word 101,word 102,word 103,word 104,word 105,word 106,word 107,word 108,word 109,word 110,word 111,word 112,word 113,word 114,word 115,word 116,word 117,word 118,word 119,word 120,word 121,word 122,word 123,word 124,word 125,word 126,word 127,word 128,word 129,word 130,word 131,word 132,word 133,word 134,word 135,word 136,word 137,word 138,word 139,word 140,word 141,word 142,word 143,word 144
3000,body,mind,brain,thoughts,actions,deeds,misdeeds,crimes,criminal,bad,horrible,person,people,humans,animals,fish,sharks,whale,jellyfish,dolphin,orca,black,white,yellow,red,orange,purple,green,blue,sad,depression,anxiety,illness,sick,hospital,doctor,nurse,baby,child,adult,person,place,thing,noun,words,verbs,adjectives,adverbs,speech,talk,mouth,sound,ear,hearing,deaf,silence,stillness,peace,serenity,calm,tranquil,soft,nice,loving,kind,good,sleep,dream,wonder,amaze,awe,great,big,large,giant,beanstalk,goose,bird,penguin,albatross,wings,flying,plan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3001,body,suit,tie,knot,string,rope,tugofwar,games,digital,mario,nintendo,computer,laptop,programs,tv,series,startrek,picard,xmen,xwomen,gender,female,birth,babies,lotion,cucumber,salad,sandwich,ham,cheese,carbs,sugar,sweet,sour,lemon,drops,rain,water,drink,thirsty,dry,desert,sand,mess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3004,body,dead,funeral,mourning,rebirth,baby,growth,maturity,wisdom,cycle,earth,solar,planets,galaxiy,universe,bang,begining,mystery,ambiguity,poetry,words,mturk,hits,research,science,evidence,truth,knowledge,argument,politics,demigogue,disruption,insurrection,society,economy,dysfunctional,covid,inept,policies,war,takeover,unrest,evolve,wisdom,justice,truth,freedom,flying,birds,airplanes,jets,rockets,space,mars,beyond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3007,water,tree,creek,river,stream,bottle,lake,ocean,bay,fridge,rain,droplet,drop,cloud,mist,foam,sleet,hail,lightning,thunder,flash,crack,bang,pow,video,startle,jump,look,watch,sublime,loop,follow,think,back,remember,wonder,recall,ask,question,answer,resent,fall,follow,think,look,jump,window,open,tree,grass,mountain,hill,green,grey,brown,rocky,snow,sky,blue,white,grey,brown,dark,green,light,pine,elm,oak,maple,tall,high,house,taller,bigger,larger,deep,rooted,roots,ground,burrow,rhizome,shoots,starch,eat,vegetables,farm,garden,grow,water,soil,dirt,muck,mud,clay,loam,sand,rock,grantine,shale,sheet,mine,dig,burrow,hol,hole,deep,break,turn,reply,convert,shutter,close,end,fall,look,rewind,jump,fly,sky,far,distant,airplane,boat,train,ski,car,truck,bus,tractor,farm,rows,crops,corn,wheat,barley,schotch,wind,cold,blow,harsh,shilly,chilly,drab,
3009,body,arm,muscle,strong,healthy,athlete,hockey,puck,ice,stick,skates,winter,snow,cold,sick,snot,tissue,toilet,toohbrush,toothpaste,water,drink,hydrate,summer,hot,sun,bugs,grill,burgers,hotdogs,ketchub,beer,drunk,bar,people,loud,music,guitar,band,drums,hitting,baseball,ball,beach,sand,water,jetski,fish,hook,worm,nature,bird,egg,breakfast,cheese,dairy,cow,grass,farm,pig,meat,dinner,wine,alcohol,bottle,cap,money,groceries,rice,china,virus,disease,hospital,nurse,doctor,bed,sleep,pillow,feathers,soft,cat,mouse,trap,cage,bars,cowboy,horse,prairie,cactus,desert,thirsty,d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3011,water,tank,pipe,valve,tube,pump,river,lake,pond,sea,taste,transparent,colorless,liquid,fluids,ground,compound,depth,flood,flow,rain,drink,fresh,tears,aqua,pure,clear,warm,cold,salted,dirty,blue,distilled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3012,water,swim,suit,church,pews,preacher,sin,wromg,right,turn,direction,travel,car,truck,camprr,camp,tent,snake,kill,murder,jail,sherrif,deputy,badge,oolish,shine,light,dark,sin,wrong,right,lest,hand,arm,hug,love,momma,brother,sister,sissy,aunt,uncle,nephew,pest,keith,brother,love,find,hunt,deer,fawn,baby,diaper,stink,skunk,black,tar,sticky,icecream,melt,summer,hot,sun,moon,shine,moon,beam,lumber,built,house,bedroom,bed,sleep,rest,tired,sleepy,yawn,contagious,sick,virus,kill,die,sad,happy,glad,fun,play,dolls,house,porch,wwing,creak,croak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3015,body,man,person,human,animal,dog,cat,tiger,lion,wild,life,biology,science,math,geometry,shapes,square,circle,sphere,ball,basketball,game,entertainment,fun,pleasant,serene,relaxing,water,ice,snow,mountains,outdoors,hiking,camping,cooking,food,pizza,toppings,ingredients,tomatoes,vegetables,gardens,plants,trees,forests,green,color,drawing,painting,art,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3017,body,sore,active,endurance,constitution,runner,jogger,determined,sore,tired,stretch,eat,rest,sleep,healthy,energy,young,flexible,sexual,sensitive,tall,gawky,lissome,klutzy,graceful,eat,drink,water,sleep,walk,run,happy,healthy,loved,body,cats,cuddle,purry,vibes,nice,lonely,bed,alone,marriage,miss,dou8g,doug,ohwell,single,good,now,body,busy,busy,work,house,yard,autonomy,agency,energy,wealth,determination,motivation,moderation,balance,yoga,nature,nature,plants,flowers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3020,body,painting,artistic,creativity,imagination,childlike,children,school,education,tests,reading,viewing,vision,optical,illusion,hallucination,disbelief,knowledge,cranal,cranium,skull,biology,research,scientist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
