ID,cue,word 1,word 2,word 3,word 4,word 5,word 6,word 7,word 8,word 9,word 10,word 11,word 12,word 13,word 14,word 15,word 16,word 17,word 18,word 19,word 20,word 21,word 22,word 23,word 24,word 25,word 26,word 27,word 28,word 29,word 30,word 31,word 32,word 33,word 34,word 35,word 36,word 37,word 38,word 39,word 40,word 41,word 42,word 43,word 44,word 45,word 46,word 47,word 48,word 49,word 50,word 51,word 52,word 53,word 54,word 55,word 56,word 57,word 58,word 59,word 60,word 61,word 62,word 63,word 64,word 65,word 66,word 67,word 68,word 69,word 70,word 71,word 72,word 73,word 74,word 75,word 76,word 77,word 78,word 79,word 80,word 81,word 82,word 83,word 84,word 85,word 86,word 87,word 88,word 89,word 90,word 91,word 92,word 93,word 94,word 95,word 96,word 97,word 98,word 99,word 100,word 101,word 102,word 103,word 104,word 105,word 106,word 107,word 108,word 109,word 110,word 111,word 112,word 113,word 114,word 115,word 116,word 117,word 118,word 119,word 120,word 121,word 122
3000,water,drink,cup,paper,pencil,pen,write,story,book,novel,new,fresh,fruit,sweet,candy,sticky,floor,sweep,mop,clean,nice,good,love,family,people,humans,earth,sun,moon,stars,planets,space,explore,travel,cruise,relaxation,nice,good,fun,happiness,joy,love,me,here,now,present,future,unknown,wonder,mind,brain,head,hair,eyes,nose,mouth,tongue,teeth,dentist,cavity,hole,crater,meteor,rock,music,entertaining,fun,exciting,adventure,spontaneous,wild,animal,wolf,dog,cat,cheetah,tiger,lion,bear,mountain,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
3001,water,wet,cold,ice,balloon,fall,stream,faucet,puddle,rain,jug,well,sink,boat,hot,liquid,h2o,tray,pond,snow,lake,spray,bowl,condensation,tears,river,pool,spring,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
3004,water,rain,ocean,fish,seafood,wine,vinyard,grapes,wine,grapes,sun,rain,lake,boat,swiming,diving,snorkling,scuba,submarine,torpedoes,war,death,nuke,end,peace,renewal,forest,nature,ants,animals,people,zoos,prisons,incarceration,slavery,work,manufacturing,ecomomy,money,transportaion,trucks,trains,aircraft,networks,distribion,arteries,blood,oxygen,life,dna,ea, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
3007,body,play,ball,bat,base,gun,arm,sit,chair,fold,jump,target,punitive,eat,yawn,drop,fart,fill,pick,look,stick,leaf,tree,branch,bark,flower,drop,dew,grass,seed,dirt,soil,worm,sprout,leap,spring,forward,see,sight,air,mist,fog,wind,cloud,rain,hill,mountain,rock,break,fall,push,pool,splash,jump,look,watch,read,understand,write,learn,think,cognize,develop,grow,pace,outpace,fall,trip,sloppy,dirty,messy,clean,broom,sweep,mop,sponge,soap,wash,hands,coronavirus,elevate,watch,wait,walk,talk,look,view,see,feel,think,remember,recall,memory,breakfast,shower,toothbursh,water,tap,pill,coffee,cup,mug,ink,drawing,painting,ceramic,glaze,bake,dough,money,scratch,wompum,smoke,billow,float,bath,bum, , , , ,
3009,water,drink,water,thirsty,bottle,soda,sugar,teeth,smile,happy,emotion,sad,hurt,injury,hospital,nurse,doctor,sick,vomit,fluid,juice,fruit,healthy,running,marathon,shoes,laces,socks,warm,summer,bugs,flies,maggots,gross,rotten,meat,dinner,potatoes,gravy,homemade,baking,cake,sweet,sugar,unhealthy,candy,dentist,cavity,germs,disease,toothbursh,clean,rag,water,dishsoap,dishes,fork,vegetables,garden,summer,beach,vollyball,ball,sand,seaguls,fish,fishing,hook,w, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
3011,body,part,arm,neck,pain,nose,finger,muscle,mouth,ache,sprain,leg,hand,eye,head,thigh,hip,stomach,backbone,toe,ear,knee,foot,nails,abdomen,allergy,temperature,cold,heat,sweat,shake,moves,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
3012,body,soul,heaven,hell,hot,cold,winter,snow,plow,garden,weeds,pull,tractor,fait,rides,ferriswheel,fall,broke,poor,farmer,cows,calf,bottle,baby,cry,loud,bvoom,fireworks,july,hot,humid,sticky,flytrap,fly,pest,brother,love,momma,precious,dog,peke,faith,jesus,love,homor,obey,husband,wife,child,fun,games,play,party,vake,icecream,cone,melt,ice,snow,winter,dled,pull,hill,sick,vomit,motion,dizzy,earache,doctor,nurse,shot,ouch,tooth,cold,sweater,boots,mud,cows,horses,foals,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
3015,water,ice,cube,square,shape,geometry,math,science,biology,life,animals,dogs,pets,dogs,cats,tigers,lions,wild,life,form,document,paper,pen,writing,words,sentences,pargraphs,books,literature,fiction,fantasy,dream,though, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
3017,water,beach,lake,swimming,floating,ocean,hydration,healing,sacred,missing,oceans,missing,lakes,need,water,waterbaby,rain,love,reign,h2o,drink,water,hydration,kidney,health,cleansing,showers,luxury,warmth,painfree,water,life,molecules,liquid,crystal,intelligent,programmable,sacred,elixir,flows,bathing,hotsprings,need,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
3020,water,bottle,storage,container,jar,glass,window,car,smart,intellectual,smart,genius,math,numbers,numeral,digit,three,number,phone,store,grocery,items,list,sequence,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
