ID,cue,word 0,word 1,word 2,word 3,word 4,word 5,word 6,word 7,word 8,word 9,word 10,word 11,word 12,word 13,word 14,word 15,word 16,word 17,word 18,word 19,word 20,word 21,word 22,word 23,word 24,word 25,word 26,word 27,word 28,word 29,word 30,word 31,word 32,word 33,word 34,word 35,word 36,word 37,word 38,word 39,word 40,word 41,word 42,word 43,word 44,word 45,word 46,word 47,word 48,word 49,word 50,word 51,word 52,word 53,word 54,word 55,word 56,word 57,word 58,word 59,word 60,word 61,word 62,word 63,word 64,word 65,word 66,word 67,word 68,word 69,word 70,word 71,word 72,word 73,word 74,word 75,word 76,word 77,word 78,word 79,word 80,word 81,word 82,word 83,word 84,word 85,word 86,word 87,word 88,word 89,word 90,word 91,word 92,word 93,word 94,word 95,word 96,word 97,word 98,word 99,word 100,word 101,word 102,word 103,word 104,word 105
1001,,heartbreak,pain,ouch,cut,bandaid,bruise,black,soul,light,happiness,glad,smile,cry,scream,shout,yell,echo,chamber,closet,clothes,pants,jeans,skirt,dress,formal,evening,morning,night,darkness,light,flash,lightening,thunder,rain,drops,dew,wet,dry,towel,beach,lake,sail,mac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002,,leaves,raking,twigs,vines,sticks,bags,raking,cutting,pulling,cleaning,stuffing,stacking,sweeping,tidying,finished,accomplishment,presentation,pleasant,attractive,finished,ready,tour,garden,ladies,club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003,,sad,story,love,heartbreak,feeling,unfair,distance,travel,airplane,dislike,feelings,sad,tired,sleepy,nap,warm,comfort,headache,tired,tea,warm,chai,taste,nice,soothing,beverage,candle,light,smell,good,sweet,dark,quiet,silent,warm,couch,pillow,sheets,blanket,teddy,cuddle,love,dog,happy,warm,friend,play,fun,grass,ball,garden,flowers,melon,sweet,juicy,tomato,leaves,green,dirt,water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006,,JESUS,SAD,heart,late,night,talking,alone,NEVER,WAS,SORRY,REGRETS,MANY,FEATHER,BIRD,BLUE,SKY,PRETTY,WIND,RELAXING,NEED,HOW,THERAPY,THINKING,ROCK,SCARED,WORK,NEW,SAD,DAD,GONE,WHERE,WHEN,WEEKEND,SOON,MONEY,HOPE,FUN,SHOP,CLOTHES,TABLES,LOVE,LACEY,MISS,SOON,WORK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007,,sad,upset,heartbroken,lost,unamused,sorry,apologetic,angry,confused,distraught,unhappy,moved,stressed,tale,story,drama,love,broken,alone,defeated,cry,sob,hurt,dead,inconsolable,mad,disgruntled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011,,death,grief,loss,mourning,black,dark,deep,lost,found,reunited,connection,link,eternal,infinity,neverending,always,forever,peace,home,belonging,connection,meaningful,important,true,unbreakable,strong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012,,sad,mourning,loss,grief,love,desolate,misty,foggy,alone,lonely,wandering,meanderin,mindless,numb,anger,denial,bargaining,depression,acceptance,stages,fantasy,tragic,trauma,loveless,healing,beginnings,newness,butterflies,hope,mariposa,sunset,dawn,twilight,dusk,following,winds,moving,strange,emotion,peace,date,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013,,Bleak,disaster,brimstone,hellscape,fear,worry,doubt,silence,dusk,dawn,arise,memory,fleeting,rebuild,uphold,burgeoning,Causality,redux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1014,,Sad,Heartbreak,Alone,Death,Deception,Pointless,Tired,Sleeping,Bed,Comfort,Home,Family,safe,Protect,pets,Soft,Fur,Coat,Fashion,Designer,Popular,Status,Fame,Model,Tall,Heels,Runway,Show,Vegas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015,,date,mannequin ,nanny,plane,curly,tattered,jeans,dad,dead,rough,jump,pop,lamp,lambchop,portly,ham,hum,grid,dial,write,dig,hot,yell,plunder,roast,ghost,straight,baby,yam,milk,cheese,dread,long,black,huge,hurt,poem,book,limp,hard,tell,wimp,rock,water,cold,butter,screen,float,w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
