ID,cue,word 1,word 2,word 3,word 4,word 5,word 6,word 7,word 8,word 9,word 10,word 11,word 12,word 13,word 14,word 15,word 16,word 17,word 18,word 19,word 20,word 21,word 22,word 23,word 24,word 25,word 26,word 27,word 28,word 29,word 30,word 31,word 32,word 33,word 34,word 35,word 36,word 37,word 38,word 39,word 40,word 41,word 42,word 43,word 44,word 45,word 46,word 47,word 48,word 49,word 50,word 51,word 52,word 53,word 54,word 55,word 56,word 57,word 58,word 59,word 60,word 61,word 62,word 63,word 64,word 65,word 66,word 67,word 68,word 69,word 70,word 71,word 72,word 73,word 74,word 75,word 76,word 77,word 78,word 79,word 80,word 81,word 82,word 83,word 84,word 85,word 86,word 87,word 88,word 89,word 90,word 91,word 92,word 93,word 94,word 95,word 96,word 97,word 98,word 99,word 100,word 101,word 102,word 103,word 104,word 105,word 106,word 107,word 108,word 109,word 110,word 111,word 112,word 113,word 114,word 115,word 116,word 117,word 118,word 119,word 120,word 121,word 122
1000,water,fire,house,home,relax,enjoy,fun,friends,family,close,holiday,vacation,travel,island,swim,beach,sun,sports,play,hobby,guitar,music,band,concert,radio,cd,album,nostalgia,past,present,future,plan,save,money,spend,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1001,body,aches,joint,club,card,shark,bite,me,i,myself,woman,she,wolf,gang,bang,boom,box,car,seat,cover,up,down,low,down,comforter,holy,mess,up,sky,high,chair,leg,pain,ache,head,start,begin,end,point,finger,nail,down,ground,outlet,shopping,cart,horse,drawn,pencil,lead,iron,skillet,meal,supper,break,fast,slow,down,spiral,notebook,movie,sad,happy,train,boxcar,willie,wonka,chocolate,bar,gold,silver,fish,fry,oil,grease,pig,ham,sandwich,earl,duke,fist,fight,club,suite,hotel,stay,vacation,trip,fall,spring,board,director,chair,pad,cushion,fall,down,up,sky,blue,sad,sack,bag,lady,girl,boy,kid,rock,roll,bread,money,hungry, , , , , , , , , ,
1002,body,part,heavy,skin,color,racism,change,improvement,perfection,habits,routine,daily,steps,personal,individual,self,story,life,exciting,scary,endure,persevere,virtue,philosophy,greek,history,aristotle,stoic,learning,books,coffee,beans,roast,dark,drink,mug,cup,hot,beverage,productivity,supplements,vitamins,omega-3,protein,fitness,gym,training,cardio,lifting,weights,bench,dumbbells,barbell,heavy,trainer,crossfit,muscles,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1003,water,water,water,bible,ruler,mouse,smartphone,book,mousepad,buttons,carpet,fingers,hair,curtains,drapes,laptop,paper,wristwatch,bed,sofa,acquire,delegate,assign,recruit,coworker,teamwork,colleague,supervisor,lego,disney,child,wife,pet,strap,bottle,screen,soap,allow,shin,towel,baby,,gain,aided,nurse,virus,infection,death,hospital,park,building,cottage,car,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1006,body,hand,heck,leg,toe,feet,finger,nail,skin,teeth,hair,ear,eyes,nose,ampit,house,door,window,glass,roof,floor,chairs,tables,rug,tiles,kitchen,pot,plate,spoon,fork,tray,gas,cooker,food,egg,rice,beans,butter,cake,sardine,salad,samosa,electronics,television,radio,home-theater,sound-system,remote,wifi,cast,paint,pictures,lightens,fan,airconditional,cotton,shower,net,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1008,body,type,face,image,skin,odor,shape,form,kind,order,magnitude,size,cover,clothes,legs,hands,feet,eyes,nose,mouth,tongue,teeth,chin,jaw,chew,swallow,digest,fingers,toes,socks,shoes,sneakers,games,play,run,jump,skip,kick,catch,throw,roll,bounce,hit,bat,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1009,water,fish,eat,meat,food,orange,pineapple,fruits,energy,life,livings,life,world\\,nature,human,animals,king,lord,queen,president,prime,vip,rip,give,potential,draw,cat,dog,pig,lion,tiger,barberian,gym,dumbell,rod,weightlift,life,lift,floor,time,clock,watch,analog,digital,transactions,money,cash,dollars,stock,trade,quit,life,end,avengers,end,game,roger,steve,captain,america,marvel,studios,films,characters,thor,thanos,captain,america,iron,man,tony,starc,chris,evans,george,hours,news,fox,fox,news,cnn,news,toilet,paper,evans,trade,war,cognitive,task,aptitute,aptitude,task,game,art,sports,soccer,baseball,football,nba,, , , , , , , , , , , , , , , , , , , , , ,
1013,body,mind,spirit,ghost,house,mark,boat,swim,summer,sun,tan,drink,towel,trees,sky,smell,salt,tacos,lime,chair,patio,rocks,squirrel,mosquito,barn,hay,woods,hot,heat,sweat,hat,car,ride,windows,breeze,store,people,mask,staring,cool,freezer,appliance,move,clean,wipe,kitchen,cooking,breakfast,eggs,biscuit,coffee,list,bank,deposit,book,reading,night,bed,light,neighbor,noise,complain,tired,mother,fireworks,aside,wash,house,paint,wood,sand,repair,rot,hot,dirty,vacation,hawaii,volcano,palm,lava,ocean,horizon,sunset,celebrity,movie,noir,mystery,mountains,dock,lake,cold,high,music,, , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1014,water,rain,wet,water,rain,weather,clowdy,overcast,stormy,clowdy,rain,wet,water,river,fish,food,hungry,store,shopping,money,payment,purchase,owned,property,mine,ownership,dedication,devotion,work,effort,tedious,effort,stressful,overwealming,alot,enough,finished,done,over,complete,finished,done,over,end,finish,next,second,first,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1015,body,part,arm,leg,foot,heel,toe,nails,paint,car,shop,clothes,sale,price,good,bad,great,good,okay,right,left,right,yes,no,okay,now,later,now,beginning,ending,after,before,yesterday,today,evening,dinner,lunch,breakfast,brunch,salad,eggs,milk,cow,rooster,pigs,slaughter,bad,pork,animals,legs,hooves,cows,moo,bark,dog,cat,snake,snail,nail,nails,painted,manicure,hands,skin,cuticles,polished,remover,nails,coat,shine,sheen,shimmer,gleam,glitter,glitz,glam,glammer,gloat,glove,give,got,get,goes,got,gotten,giver,gave, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
