ID,cue,word 1,word 2,word 3,word 4,word 5,word 6,word 7,word 8,word 9,word 10,word 11,word 12,word 13,word 14,word 15,word 16,word 17,word 18,word 19,word 20,word 21,word 22,word 23,word 24,word 25,word 26,word 27,word 28,word 29,word 30,word 31,word 32,word 33,word 34,word 35,word 36,word 37,word 38,word 39,word 40,word 41,word 42,word 43,word 44,word 45,word 46,word 47,word 48,word 49,word 50,word 51,word 52,word 53,word 54,word 55,word 56,word 57,word 58,word 59,word 60,word 61,word 62,word 63,word 64,word 65,word 66,word 67,word 68,word 69,word 70,word 71,word 72,word 73,word 74,word 75,word 76,word 77,word 78,word 79,word 80,word 81,word 82,word 83,word 84,word 85,word 86,word 87,word 88,word 89,word 90,word 91,word 92,word 93,word 94,word 95,word 96,word 97,word 98,word 99,word 100,word 101,word 102,word 103,word 104,word 105,word 106,word 107,word 108,word 109,word 110,word 111,word 112,word 113,word 114,word 115,word 116,word 117,word 118,word 119,word 120,word 121,word 122,word 123,word 124,word 125,word 126,word 127,word 128,word 129,word 130,word 131,word 132,word 133,word 134,word 135,word 136,word 137
1000, ,star,light,shower,rain,coat,stand,up,down,stairs,carpet,bag,case,note,book,case,sensitive,information,technology,centre,right,on,off,key,board,room,rate,film,camera,case,suit,hanger,plane,paper,aeroplane,meal,time,table,cloth,dish,washer,woman,female,male,changing,room,inside,sport,paper,note,book,worm,hole,black,board,room,makeover,glamorous,fabulous,hair,style,section,divide,half,cut,hair,style,guru,knowledge,study,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1001, ,hello,happy,sad,down,up,straight,narrow,awkward,flow,rhythm,blue,bright,intelligient,dumb,dumbo,disney,animation,anime,manga,japanese,culture,art,music,life,death,metal,substance,abuse,bad,good,amazing,estatic,elated,vibrant,energetic,energy,frequency,vibration,atoms,particles,matter,quantum,leap,year,date,single,double,twins,children,adults,elders,knowledge,experience,intelligience,knowing,certain,definite,must,determined,focused,lens,glasses,prescription,medicine,ill,well,water,liquid,wet,dr,dry,sand,castle,king,queen,princess,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1002, ,start,end,bye,hello,trying,aiming,penguin,zoo,monkey,hammer,nail,please,thanks,fridgge,cooker,lunch,dinner,tea,coffee,banana,fruit,apple,orange,carrot,pear,vegetable,cooking,meal,enjoy,hobby,relaxing,stressful,children,fun,young,free,spirits,enjoy,family,friends,enemies,solid,wood,kitchen,bathroom,vanity,unity,taps,water,drip,climate,hot,change,vaccines,covid,omicron,delta,greek,pandemic,antivax,conspiracy,sick,well,doctor,hospital,ventilator,icu,nurses,therapists,radiographer,physiotherapist,occupational,speech,cleaner,porter,catering,everyone,taxi,car,lorry,truck,bus,bicycle,walking,running,exercise,intensity,jumping,balerina,dancing,play,dough,games,toys,bricks,logs,leggo,table,chairs,furniture,couch,shame,tired,credit,money,give,me,you,them,her,pronouns,bottle,water,juice,drinks,vodka,beer,spirits,rum,guinness,fudge,stew,ice,icepop,cube,popsicle,lawyer,solicitor,insurance,baby,pregnant,, , , ,
1003, ,rainbow,colour,blue,green,purple,orange,pink,blue,sh,sky,blue,clouds,colours,bright,pot,of,gold,treasure,earth,beautiful,rain,sun,weather,windows,sunshine,clouds,space,universe,picture,colourful,magical,mystery,science,atmosphere,drawing,rayes,sun,storm,weatherfront,start,end,bright,dark,daylight,darkness,cloudcover,heat,cold,winter,summer,autumn,spring,year,long,short,days,weeks,months,years,centuries,short,long,drizzle,wind,calm,water,climate,change,animalssense, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1005, ,snow,play,laugh,love,kind,heart,lung,body,person,son,family,mum,adopt,hope,court,crime,punishment,prison,bleak,winter,cold,hail,rain,cloud,dark,moon,harvest,autumn,sunshine,summer,cornfield,flowers,blue,river,swimming,children,fish,grass,picnic,sandwiches,food,share,warm,beach,sand,ocean,waves,storm,,rain,miserable,work,laughter,friends,tea,sharing,kindness,people,neighbours,home,pets,famiy,family,tattoo,heart,colour,bright,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1006, ,hello,bye,door,open,close,near,road,car,audi,sport,running,exercise,gym,hot,cold,freeze,ice,skiing,holiday,rich,mansion,pool,water,hydrate,healthy,fruit,strawberry,seeds,plant,tree,green,colour,blue,sky,clouds,aeroplane,away,far,countryside,hills,mountains,walks,friends,coffee,tea,caffeine,awake,tired,sleep,bed,cosy,warm,duvet,home,happy,comfortable,family,friends,close,secrets,trust,betray,sad,cry,alone,brave,independent,adult,job,money,assets,intersting,hobbies,artwork,posters,room,pink,girly,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1007, ,begin,start,end,movie,film,camera,photo,shoot,gun,bullet,shell,sea,waves,power,station,train,tube,tunnel,france,skiing,holiday,sun,summer,winter,cold,hot,water,bath,shower,umbrella,broken,damaged,faulty,repair,warranty,guarantee,extended,ladder,steps,climb,mountain,hills,valley,river,flow,rate,cost,money,pay,salary,monthly,magazine,hobby,cars,garage,tools,saw,wood,fire,stove,heat,warmth,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1009, ,study,work,money,house,car,travel,peace,drinks,beach,bikini,sexy,sea,fish,sushi,body,health,exercise,tired,sleep,dream,love,kiss,husband,ring,happy,family,together,kids,toys,mess,stress,thesis,hours,write,nervous,grades,degree,uncertainty,success,relevance,happiness,people,time,laugh,enjoy,content,fear,anxiety,enough,cry,desparate,lonely,quiet,overthinking,chaos,pandemic,sick,death,scary,cases,numbers,isolation,vaccine,immune,healthy,metabolism,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1010, ,star,flower,jijitsi,nope,god,belief,boots,prayer,yellow,baby,sunshine,lollipop,auto,newyork,travel,ship,tornado,boat,classy,hugh,bollywood,money,job,white,interested,doubt,africa,lion,table,banana,healthy,chips,winter,snow,green,tiles,obedient,hero,goodmorning,acceptable,slums,hygiene,corona,typin,slang,movies,magic,phone,speaking,moon,sun,boy,girl,destiny,igloo,under,fuji,warnerbro,opaque,plethora,themes,dracula,wisconsin,quebec,zenith,nose,juggle,punishment,crisp,goat,human,cat,bones,osteopathy,beak,foam,which,rosd,road,timed,square,pluto,samantha,teeth,fish,snorkle,thailand,monk,de, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1012, ,hat,scarf,cold,winter,rain,snow,sleet,ice,hotchocolate,fire,logs,burner,heating,inside,dark,damp,bath,bubbles,washing,laundry,clothes,shopping,consumerism,greed,capitalism,money,wealth,prosperity,work,career,goals,football,hockey,referee,references,garantour,reliable,proof,prooving,bread,baking,yeast,crusty,warm,butter,buttercream,cakes,delicious,comfort,sofa,film,blanket,knitting,cats,cuddly,stroking,furry,warming,playful,weekend,sleep,rest,free,walking,hills,excercise,outdoors,countryside,hills,forests,greeen,autumnal,crispy,leaves,orange,brown,zesty,delicious,fruity,flavoursome,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
