ID,cue,word 1,word 2,word 3,word 4,word 5,word 6,word 7,word 8,word 9,word 10,word 11,word 12,word 13,word 14,word 15,word 16,word 17,word 18,word 19,word 20,word 21,word 22,word 23,word 24,word 25,word 26,word 27,word 28,word 29,word 30,word 31,word 32,word 33,word 34,word 35,word 36,word 37,word 38,word 39,word 40,word 41,word 42,word 43,word 44,word 45,word 46,word 47,word 48,word 49,word 50,word 51,word 52,word 53,word 54,word 55,word 56,word 57,word 58,word 59,word 60,word 61,word 62,word 63,word 64,word 65,word 66,word 67,word 68,word 69,word 70,word 71,word 72,word 73,word 74,word 75,word 76,word 77,word 78,word 79,word 80,word 81,word 82,word 83,word 84,word 85,word 86,word 87,word 88,word 89,word 90,word 91,word 92,word 93,word 94,word 95,word 96,word 97,word 98,word 99,word 100,word 101,word 102,word 103,word 104,word 105,word 106,word 107,word 108,word 109,word 110,word 111,word 112,word 113,word 114,word 115,word 116,word 117,word 118,word 119,word 120,word 121,word 122,word 123,word 124,word 125,word 126,word 127,word 128,word 129,word 130,word 131,word 132,word 133,word 134,word 135,word 136,word 137,word 138,word 139,word 140,word 141,word 142,word 143,word 144,word 145,word 146,word 147
1000,,sun,shine,bright,clever,clogs,shoes,fit,well,water,log,wood,tree,house,roof,chimney,sweep,broom,stick,fire,hot,cold,snow,man,woman,fight,fist,glove,wool,needle,point,view,scene,play,lines,train,thought,idea,bright,star,light,show,star,night,moon,man,top,bottom,trousers,skirt,frill,lace,trainer,run,finish,refined,rich,velvet,curtain,pole,vault,gymnast,tumble,weed,garden,rose,climb,tree,branch,line,up,high,jump,leap,frog,toad,stool,wooden,stiff,starch,potato,head,scarf,cosy,fire,light,house,safe,money,shop,clothes,fashion,style,cutting,spite,hate,anger,lonely,down,feather,l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001,,literature,english,language,linguistics,study,university,education,important,senior,citizen,society,building,bridges,cars,vehicles,motors,engine,midfield,kante,chelsea,abramovic,russian,nationality,country,city,town,forest,trees,wildlife,africa,giraffes,tall,long,short,life,hard,soft,ball,shape,figure,sum,money,finance,income,outgoings,expenditure,receipts,paper,planes,travel,exotic,heat,cold,shoulder,body,soul,spiritual,religion,structure,fractal,particles,pieces,jigsaw,game,leisure,time,existence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002,,chain,reaction,alergy,histamine,anaphalaxis,horrible,worrie,worry,fear,anxious,stress,mindfulness,occupation,relax,bath,oils,smells,hearing,tast,touch,tough,men,woman,child,girl,boy,tent,camping,stove,chair,guitar,cards,whiskey,succession,planning,jumping,skipping,hopping,place,palace,person,penguin,plant,plants,pait,pleat,please,thanks,drop,up,donw,over,around,when,if,how,what,when,did,you,me,do,eggs,cheese,milk,bacon,fry,juice,orange,apple,cranberry,smoothie,yoghurt,greek,spanis,italian,french,german,irish,english,european,brexit,belly,laugh,lol,comedy,funny,happy,larry,children,avocado,toast,cucumber,salt,pepper,taste,truck,developer,develop,jumping,jacks,squat,burpee,hop,skip,lunge,lounge,sofa,couch,ikea,shop,furniture,away,new,renovation,home,improvement,jumping,toes,fingers,legs,foot,feet,ankle,bones,knees,pelvis,hips,spine,thorax,lumbar,shoulder,collar,clavicle,arm,elbow,humerus,bicep,tricep,anconeous,flexible,wrist,thumb,fingers,joints,
1003,,river,murder,men,woman,child,boy,girl,fishing,trout,cold,hard,blouse,buttons,bed,hairylegs,legs,breasts,van,car,lady,man,dead,body,river,bed,seaweed,moss,mountains,hills,road,farm,houses,sheds,house,clothes,school,coat,dean,william,claire,relax,whiskey,beer,market,drinking,alcohol,sleep,breakfast,eggs,toast,coffee,chair,table,house,yard,shed,work,day,garden,lawn,lying,truth,grass,sun,weather,trucks,friends,dayout,trip,string,arms,glass,sink,kitchen,worktop,drier,floor,broken,window,men,chi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005,,murder,river,fishing,family,friends,fun,dark,story,claire,mum,dean,child,boys,family,future,hopeful,clever,study,photograph,scenic,seaside,views,sunset,borneo,trip,stage,actor,youngest,famous,money,struggle,marry,holiday,beach,cocktail,drink,restaurant,menu,chips,salt,time,content,happy,airplane,difficult,autism,better,happier,future,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006,,innocent,girl,killed,man,ugly,old,drunk,aggressive,angry,violent,beastly,hidden,secretive,wife,innocent,scared,child,unaware,peaceful,fearful,rape,illegal,bad,arrest,police,helpful,report,newspaper,accountable,admit,guilty,innocent,scared,young,target,red,danger,wild,far,segregated,unsafe,desperate,helpless,death,funeral,black,colour,emotions,overwhelmed,quiet,loud,shout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007,,cough,cold,sneeze,blink,eyes,brown,bear,polar,arctic,explorer,adventure,travel,overseas,ship,sink,diving,treasure,chest,gold,jewelery,necklace,collar,dog,cat,pet,stroke,brain,think,idea,lightbulb,illumination,bright,clever,intelligent,smart,neat,tidy,clean,wash,scrub,land,property,house,home,castle,walls,rock,brick,mortar,explosion,fire,extinguisher,red,apple,pie,maths,english,subjects,king,queen,prince,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009,,story,book,suspense,crime,interesting,scary,murder,crazy,violence,defense,blood,death,feat,women,run,knife,gun,hand,hair,man,mustache,eyes,smell,jacket,news,tears,sad,cry,revenge,find,arrest,prison,regret,deserve,court,sentence,fight,media,forget,shallow,care,mental,girls,naive,vunerable,protect,alone,school,friends,book,pages,teacher,smile,laugh,play,game,online,videos,information,irrelevant,tired,overwhelmed,focus,read,letters,comments,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010,,girl,dresser,boy,creek,dead,cries,money,heist,jumbo,apple,zebra,john,cognitive,prolific,handles,nails,sacrifice,performance,love,lights,action,spreadsheet,job,application,individual,wonder,flourish,water,justification,human,break,monsoon,hurricane,fire,dream,meaning,sometimes,fault,indigo,knowing,wishing,boy,destiny,dimention,super,super,nice,blue,bird,remnant,foundation,,witch,lollipop,cookies,ferment,doghouse,meditation,star,doctor,netflix,whatever,finishing,bluebird,distant,granny,dishoom,refund,marriage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012,,drowning,gasping,suffocation,murder,innocent,monster,evil,motive,reason,justification,justice,death,life,live,love,hate,endure,encounter,safety,warmth,friendship,fallout,fear,afraid,fearless,freedom,liberation,choice,chance,education,opportunity,understanding,listening,caring,noticing,engaged,systemic,whole,part,enaging,help,understanding,assistance,forced,choice,permission,consnet,law,risk,worry,concern,neglect,abuse,substances,distractions,poverty,economic,disadvantage,stuck,helpless,need,want,desire,lust,love,affection,caress,bond,love,relationship,dedication,commitment,promise,trust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
