ID,cue,word 1,word 2,word 3,word 4,word 5,word 6,word 7,word 8,word 9,word 10,word 11,word 12,word 13,word 14,word 15,word 16,word 17,word 18,word 19,word 20,word 21,word 22,word 23,word 24,word 25,word 26,word 27,word 28,word 29,word 30,word 31,word 32,word 33,word 34,word 35,word 36,word 37,word 38,word 39,word 40,word 41,word 42,word 43,word 44,word 45,word 46,word 47,word 48,word 49,word 50,word 51,word 52,word 53,word 54,word 55,word 56,word 57,word 58,word 59,word 60,word 61,word 62,word 63,word 64,word 65,word 66,word 67,word 68,word 69,word 70,word 71,word 72,word 73,word 74,word 75,word 76,word 77,word 78,word 79,word 80,word 81,word 82,word 83,word 84,word 85,word 86,word 87,word 88,word 89,word 90,word 91,word 92,word 93,word 94,word 95,word 96,word 97,word 98,word 99,word 100,word 101,word 102,word 103,word 104,word 105,word 106,word 107,word 108,word 109,word 110,word 111,word 112,word 113,word 114,word 115,word 116,word 117,word 118,word 119,word 120,word 121,word 122,word 123,word 124,word 125,word 126,word 127,word 128,word 129,word 130,word 131,word 132,word 133,word 134,word 135,word 136,word 137,word 138,word 139,word 140,word 141,word 142,word 143,word 144
4001,water,clean,drink,healthy,hydration,pee,bathroom,toilet,sink,plumbing,plumber,fat,jeans,flannel,fireplace,hearth,stockings,mantle,christmas,chimney,santa,snow,roof,reindeer,sliegh,elves,cookies,keebler,chocolatechips,crumbs,napkin,table,milk,tablecoth,chairs,diningroom,floor,tile,cool,summer,ac,bills,expensive,money,bank,job,desk,chair,computer,desk,mouse,breakroom,coffee,cup,cream,sugar,warm,sweat,heat,deodorant,shavingcream,razor,shaving,shower,shampoo,naked,sex,wife,bed,fun,marriage,kids,family,together,family,picnic,vacation,boating,fishing,hiking,swimming,bouys,fish,diving,rocks,hotdogs,chips,koolaid,fairfieldbay,arkansas,hills,trees,rocks,scorpions,chipmunks,squirells,rabbits,deer,fox,armidillos,holes,yard,dig,grubs,worms,squish,sidewalk,mowing,grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4002,body,arms,legs,hands,fingers,fingertips,fingerprints,toes,toenails,tiptoe,walk,jog,run,jump,grab,hold,swing,release,fall,land,roll,stop,laugh,stand,smile,kid,memory,childhood,park,popcorn,candy,friends,music,games,football,tag,baseball,bat,miss,baseball,hit,window,shatter,glass,homeowner,angry,laughed,forgive,summer,barbeque,camp,lawn,bonfire,marsh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4003,body,shame,sadness,depression,depression,guilt,angry,trouble,law,comply,police,trial,court,prison,jail,time,fear,chance,again,redemption,hope,love,future,better,joy,renew,restore,life,good,meaning,purpose,intent,reason,right,moral,standard,regulation,upright,light,perfect,god,perfect,absolute,truth,infinite,best,pure,holy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4005,body,part,whole,fruit,breakfast,healthy,eat,food,hungry,eat,always,try,fail,succeed,perception,part,play,fun,activity,hobby,guitar,fender,gibson,expensive,poor,income,bill,inadequate,purchases,kids,priority,covid,vacation,stuck,stress,tired,angry,annoyed,fresh,start,new,life,create,path,direction,way,faith,hope,love,understanding,friends,family,community,health,happiness,due,limits,hurt,cry,forgetful,mistakes,enjoy,leave,disappear,regret,tired,ashamed,excited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4007,body,dead,claire,stuart,murder,kill,affair,hiding,lust,betrayal,anger,lake,water,drown,fishing,net,trees,mountain,blue,green,colors,wind,rain,monster,killer,brutal,justice,law,arrested,hanged,cop,car,truck,driver,jail,months,year,escape,caught,unifrom,uniform,from,form,may,get,into,problem,any,way,where,ever,like,fast,speed,ugly,ready,commited,joy,smile,happy,wanted,mate,might,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4008,water,river,fishing,fish,catch,ball,mitt,baseball,bat,swing,rope,kids,play,run,jog,trail,park,car,automobile,tires,rubber,plastic,bags,garbage,removal,rid,rats,mice,rodents,scary,frightening,afraid,hide,dark,corner,baseboard,wall,paint,roller,motion,dance,floor,parquet,hard,soft,blanket,warm,toasty,fire,marshmallows,camping,friends,allies,foes,enemies,fight,kill,murder,weapon,gun,shoot,turkey,thanksgiving,dinner,family,relatives,common,ordinary,simple,easy,peasy,like,happy,smile,face,round,eyes,bl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4009,water,drink,beer,party,birthday,friends,school,teacher,book,reading,story,author,shakespeare,poem,children,toys,animal,lion,forest,elephant,tusk,white,color,blue,ocean,ship,titanic,film,director,action,fight,enemy,friend,close,open,door,house,backyard,garden,flowers,wedding,love,kiss,relationship,parents,kids,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4010,body,human,man,woman,child,young,old,ill,illness,sickness,death,life,living,joy,enjoyment,fun,recreation,outdoor,picnic,river,lake,hill,mountain,snow,ice,water,fresh,food,drink,juice,fruit,berries,strawberry,smoothie,milkshake,healthy,active,workout,walk,run,jump,track,compete,competition,award,win,lose,confidence,hardwork,ethics,struggle,challenge,victory,jubilation,celebration,fun,party,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4012,water,swim,float,raft,boat,rapids,waves,fish,turtles,snakes,frogs,toads,puddle,splash,swim,dive,tube,drink,beer,sun,hot,burn,birds,sky,stars,sun,moon,mars,red,hot,planet,orbit,asteroid,satellite,shooting,star,meteor,full,moon,lunar,eclipse,solar,eclipse,mountains,camping,helmet,whiskey,soda,ice,cube,cold,drink,long,neck,ice,cold,beer,song,music,jack,market,farm,chips,dip,deer,buck,bachelor,doe,faw,fawn,spots,sports,football,tom,brady,jay,cutler,chickens,raccoons,mask,bandit,mask,corona,virus,china,boo,ghost,sheet,scary,spirit,haunt,house,creaky,spooky,scary,fun,halloween,saints,all,most,every,dog,mo,black,lab,rugar,tikka,puppy,walks,woods,forest,foxes,red,cute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4013,body,type,write,blog,media,reporter,news,story,facebook,friends,people,individuals,each,only,some,number,math,science,history,english,subjects,topic,talk,read,book,magazine,celebrity,famous,popular,fun,game,team,compete,win,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
